date,state,district,pincode,bio_age_5_17,bio_age_17_
23-11-2025,Delhi,South Delhi,110047,2,4
23-11-2025,Delhi,South Delhi,110074,0,16
23-11-2025,Delhi,West Delhi,110058,0,7
08-11-2025,Delhi,New Delhi,110011,0,2
08-11-2025,Delhi,Shahdara,110053,0,2
02-11-2025,Delhi,South Delhi,110013,0,2
02-11-2025,Delhi,South West Delhi,110029,0,4
02-11-2025,Delhi,South West Delhi,110066,0,2
06-11-2025,Delhi,East Delhi,110094,0,1
06-11-2025,Delhi,New Delhi,110023,0,1
06-11-2025,Delhi,West Delhi,110064,0,1
25-11-2025,Delhi,New Delhi,110023,0,2
24-11-2025,Delhi,West Delhi,110064,0,2
20-11-2025,Delhi,Shahdara,110090,0,1
15-11-2025,Delhi,Shahdara,110090,0,1
16-11-2025,Delhi,Shahdara,110090,0,1
16-11-2025,Delhi,South Delhi,110048,0,5
16-11-2025,Delhi,South West Delhi,110010,0,6
16-11-2025,Delhi,South West Delhi,110030,1,0
28-10-2025,Delhi,North West Delhi,110094,0,1
31-10-2025,Delhi,West Delhi,110064,0,1
30-10-2025,Delhi,South West Delhi,110047,0,1
01-11-2025,Delhi,East Delhi,110093,0,1
01-11-2025,Delhi,New Delhi,110023,0,1
01-11-2025,Delhi,West Delhi,110064,0,2
04-09-2025,Delhi,South West Delhi,110016,0,3
07-09-2025,Delhi,Central Delhi,110060,0,1
07-09-2025,Delhi,South West Delhi,110073,0,1
05-09-2025,Delhi,South West Delhi,110029,0,3
02-09-2025,Delhi,Shahdara,110090,0,1
30-08-2025,Delhi,Central Delhi,110004,0,1
31-08-2025,Delhi,Najafgarh,110043,0,1
24-08-2025,Delhi,New Delhi,110021,0,1
24-08-2025,Delhi,South Delhi,110013,0,3
24-08-2025,Delhi,South West Delhi,110016,0,1
24-08-2025,Delhi,South West Delhi,110066,0,2
24-08-2025,Delhi,South West Delhi,110067,0,6
25-08-2025,Delhi,North West Delhi,110094,0,1
28-08-2025,Delhi,New Delhi,110011,0,1
27-08-2025,Delhi,North East Delhi,110090,0,3
27-08-2025,Delhi,North West Delhi,110056,0,2
21-08-2025,Delhi,Central Delhi,110004,0,2
21-08-2025,Delhi,South West Delhi,110047,0,1
21-09-2025,Delhi,East Delhi,110094,0,1
21-09-2025,Delhi,New Delhi,110011,0,1
21-09-2025,Delhi,Shahdara,110053,0,6
21-09-2025,Delhi,South West Delhi,110023,0,4
21-09-2025,Delhi,South West Delhi,110057,0,4
20-09-2025,Delhi,South West Delhi,110030,0,2
20-09-2025,Delhi,West Delhi,110064,0,2
16-09-2025,Delhi,South West Delhi,110047,0,1
24-09-2025,Delhi,Shahdara,110090,0,2
19-09-2025,Delhi,East Delhi,110093,0,1
14-09-2025,Delhi,East Delhi,110094,0,2
14-09-2025,Delhi,South Delhi,110013,1,3
14-09-2025,Delhi,South Delhi,110048,0,4
14-09-2025,Delhi,South West Delhi,110047,0,1
14-08-2025,Delhi,Shahdara,110095,3,6
15-08-2025,Delhi,Central Delhi,110005,0,4
15-08-2025,Delhi,East Delhi,110096,0,21
15-08-2025,Delhi,Najafgarh,110043,0,1
15-08-2025,Delhi,North Delhi,110006,0,8
15-08-2025,Delhi,North East,110053,0,2
15-08-2025,Delhi,North West Delhi,110086,0,31
15-08-2025,Delhi,South Delhi,110016,1,1
15-08-2025,Delhi,South Delhi,110047,0,1
15-08-2025,Delhi,South West Delhi,110030,0,3
15-08-2025,Delhi,South West Delhi,110067,0,2
15-08-2025,Delhi,South West Delhi,110072,0,1
15-08-2025,Delhi,West Delhi,110015,1,4
15-08-2025,Delhi,West Delhi,110041,0,16
15-08-2025,Delhi,West Delhi,110087,0,5
17-08-2025,Delhi,East Delhi,110094,0,1
17-08-2025,Delhi,New Delhi,110001,0,3
17-08-2025,Delhi,West Delhi,110026,0,2
16-08-2025,Delhi,Central Delhi,110002,1,7
16-08-2025,Delhi,Central Delhi,110004,0,2
16-08-2025,Delhi,New Delhi,110023,0,2
18-08-2025,Delhi,West Delhi,110064,0,1
17-10-2025,Delhi,Central Delhi,110001,0,3
17-10-2025,Delhi,Shahdara,110090,0,1
08-10-2025,Delhi,Central Delhi,110004,0,1
08-10-2025,Delhi,South East Delhi,110025,3,13
15-10-2025,Delhi,South West Delhi,110016,0,2
15-10-2025,Delhi,West Delhi,110064,0,2
04-10-2025,Delhi,North East Delhi,110090,1,0
04-10-2025,Delhi,West Delhi,110064,0,2
05-10-2025,Delhi,Central Delhi,110001,0,4
05-10-2025,Delhi,South West Delhi,110029,0,9
20-10-2025,Delhi,Central Delhi,110003,0,1
20-10-2025,Delhi,East Delhi,110032,0,1
20-10-2025,Delhi,East Delhi,110051,0,1
20-10-2025,Delhi,North West Delhi,110036,0,3
20-10-2025,Delhi,North West Delhi,110085,0,13
20-10-2025,Delhi,Shahdara,110032,0,3
20-10-2025,Delhi,South West Delhi,110070,0,2
21-10-2025,Delhi,South East Delhi,110025,0,13
21-10-2025,Delhi,West Delhi,110064,1,2
26-10-2025,Delhi,Shahdara,110095,1,5
26-10-2025,Delhi,South West Delhi,110066,0,2
27-10-2025,Delhi,South West Delhi,110072,0,4
23-10-2025,Delhi,Shahdara,110053,0,1
19-10-2025,Delhi,Central Delhi,110012,0,1
19-10-2025,Delhi,North West Delhi,110039,0,6
19-10-2025,Delhi,South Delhi,110024,0,2
19-10-2025,Delhi,South Delhi,110076,0,6
19-10-2025,Delhi,South East Delhi,110025,1,4
19-10-2025,Delhi,South West Delhi,110022,0,3
19-10-2025,Delhi,South West Delhi,110075,1,5
19-10-2025,Delhi,South West Delhi,110078,2,8
19-10-2025,Delhi,West Delhi,110027,1,9
18-10-2025,Delhi,New Delhi,110023,0,2
18-10-2025,Delhi,West Delhi,110064,0,1
22-10-2025,Delhi,East Delhi,110094,0,1
13-10-2025,Delhi,North West Delhi,110094,0,2
09-10-2025,Delhi,West Delhi,110064,0,1
14-10-2025,Delhi,New Delhi,110023,0,4
14-10-2025,Delhi,North West Delhi,110094,0,1
14-10-2025,Delhi,Shahdara,110090,0,1
12-10-2025,Delhi,South Delhi,110030,2,13
12-10-2025,Delhi,South Delhi,110048,0,4
12-10-2025,Delhi,South Delhi,110074,0,20
12-10-2025,Delhi,South East Delhi,110025,0,8
12-10-2025,Delhi,South West Delhi,110075,2,6
01-10-2025,Delhi,East Delhi,110094,0,1
01-10-2025,Delhi,South West Delhi,110016,0,2
02-10-2025,Delhi,Central Delhi,110055,0,6
02-10-2025,Delhi,East Delhi,110092,2,23
02-10-2025,Delhi,North East Delhi,110032,0,3
02-10-2025,Delhi,North West Delhi,110088,1,4
02-10-2025,Delhi,North West Delhi,110089,1,4
02-10-2025,Delhi,South Delhi,110014,0,1
02-10-2025,Delhi,South Delhi,110017,2,9
02-10-2025,Delhi,South Delhi,110030,2,9
02-10-2025,Delhi,South Delhi,110047,0,12
02-10-2025,Delhi,South Delhi,110065,0,5
02-10-2025,Delhi,South West Delhi,110046,0,11
02-10-2025,Delhi,South West Delhi,110067,0,1
02-10-2025,Delhi,South West Delhi,110073,0,2
02-10-2025,Delhi,South West Delhi,110075,2,10
06-10-2025,Delhi,South West Delhi,110016,0,2
28-09-2025,Delhi,North West Delhi,110094,0,1
28-09-2025,Delhi,South West Delhi,110067,0,7
08-09-2025,Delhi,South West Delhi,110047,0,2
11-09-2025,Delhi,South West Delhi,110047,0,1
18-09-2025,Delhi,New Delhi,110011,0,1
30-09-2025,Delhi,East Delhi,110094,0,1
30-09-2025,Delhi,South West Delhi,110047,0,1
13-09-2025,Delhi,North West Delhi,110056,1,2
03-09-2025,Delhi,North East Delhi,110090,1,0
03-09-2025,Delhi,Shahdara,110090,0,1
09-08-2025,Delhi,North East,110093,0,7
09-08-2025,Delhi,North East Delhi,110032,1,3
09-08-2025,Delhi,North West Delhi,110052,0,11
09-08-2025,Delhi,North West Delhi,110083,0,3
09-08-2025,Delhi,West Delhi,110026,0,1
09-08-2025,Delhi,West Delhi,110043,0,3
09-08-2025,Delhi,West Delhi,110063,0,3
05-08-2025,Delhi,New Delhi,110023,0,1
05-08-2025,Delhi,South West Delhi,110038,2,1
13-08-2025,Delhi,Central Delhi,110004,0,2
13-08-2025,Delhi,Shahdara,110090,0,1
06-08-2025,Delhi,East Delhi,110093,0,1
06-08-2025,Delhi,West Delhi,110064,0,2
10-08-2025,Delhi,Shahdara,110093,0,2
10-08-2025,Delhi,South Delhi,110048,0,4
07-08-2025,Delhi,New Delhi,110011,0,1
01-08-2025,Delhi,West Delhi,110064,0,1
01-08-2025,Delhi,Shahdara,110090,0,3
27-06-2025,Delhi,North West Delhi,110094,0,1
29-06-2025,Delhi,North West Delhi,110039,2,19
29-06-2025,Delhi,North West Delhi,110056,0,2
29-06-2025,Delhi,South Delhi,110080,3,16
29-06-2025,Delhi,South West Delhi,110073,0,3
08-07-2025,Delhi,New Delhi,110023,0,4
08-07-2025,Delhi,North East Delhi,110090,0,1
07-07-2025,Delhi,New Delhi,110023,0,1
07-07-2025,Delhi,West Delhi,110064,0,1
10-07-2025,Delhi,Central Delhi,110011,0,1
11-07-2025,Delhi,North East Delhi,110090,1,0
09-07-2025,Delhi,New Delhi,110023,0,3
19-10-2025,Delhi,East Delhi,110032,0,3
19-10-2025,Delhi,East Delhi,110051,0,3
19-10-2025,Delhi,North East,110093,1,1
19-10-2025,Delhi,North East Delhi,110093,0,3
19-10-2025,Delhi,North West Delhi,110052,3,7
19-10-2025,Delhi,North West Delhi,110085,4,3
19-10-2025,Delhi,Shahdara,110095,0,1
19-10-2025,Delhi,South Delhi,110014,0,3
19-10-2025,Delhi,South Delhi,110025,1,2
19-10-2025,Delhi,South Delhi,110044,8,7
19-10-2025,Delhi,South West Delhi,110037,1,1
19-10-2025,Delhi,South West Delhi,110043,0,1
19-10-2025,Delhi,South West Delhi,110067,0,1
19-10-2025,Delhi,South West Delhi,110071,0,2
19-10-2025,Delhi,West Delhi,110043,0,1
19-10-2025,Delhi,West Delhi,110059,7,4
21-10-2025,Delhi,Central Delhi,110002,9,12
21-10-2025,Delhi,Central Delhi,110005,3,4
21-10-2025,Delhi,Central Delhi,110055,4,1
21-10-2025,Delhi,North East,110093,1,16
21-10-2025,Delhi,North East,110094,0,28
21-10-2025,Delhi,North East Delhi,110032,10,13
21-10-2025,Delhi,North East Delhi,110053,18,27
21-10-2025,Delhi,North West Delhi,110033,22,27
21-10-2025,Delhi,North West Delhi,110082,4,8
21-10-2025,Delhi,North West Delhi,110083,12,22
21-10-2025,Delhi,North West Delhi,110088,5,15
21-10-2025,Delhi,Shahdara,110093,2,2
21-10-2025,Delhi,South Delhi,110016,0,5
21-10-2025,Delhi,South Delhi,110019,13,16
21-10-2025,Delhi,South Delhi,110044,34,33
21-10-2025,Delhi,South Delhi,110062,22,48
21-10-2025,Delhi,South Delhi,110076,6,17
21-10-2025,Delhi,South West Delhi,110028,4,3
21-10-2025,Delhi,South West Delhi,110029,1,1
21-10-2025,Delhi,South West Delhi,110057,1,0
21-10-2025,Delhi,South West Delhi,110061,3,0
21-10-2025,Delhi,South West Delhi,110064,5,5
21-10-2025,Delhi,South West Delhi,110067,1,0
21-10-2025,Delhi,West Delhi,110026,0,1
