date,state,district,pincode,demo_age_5_17,demo_age_17_
26-10-2025,Haryana,Sonipat,131023,1,3
26-10-2025,Haryana,Sonipat,131027,2,12
26-10-2025,Haryana,Sonipat,131102,1,1
26-10-2025,Haryana,Sonipat,131301,1,36
26-10-2025,Haryana,Yamuna Nagar,133202,0,2
26-10-2025,Haryana,Yamuna Nagar,135021,2,12
26-10-2025,Haryana,Yamuna Nagar,135106,0,16
21-10-2025,Haryana,Ambala,133205,1,2
21-10-2025,Haryana,Ambala,134003,2,15
21-10-2025,Haryana,Ambala,134202,1,3
21-10-2025,Haryana,Bhiwani,127021,5,9
21-10-2025,Haryana,Bhiwani,127035,0,2
21-10-2025,Haryana,Bhiwani,127042,0,1
21-10-2025,Haryana,Bhiwani,127046,2,4
21-10-2025,Haryana,Bhiwani,127114,1,1
21-10-2025,Haryana,Faridabad,121005,3,15
21-10-2025,Haryana,Faridabad,121006,1,5
21-10-2025,Haryana,Faridabad,121008,0,1
21-10-2025,Haryana,Faridabad,121101,2,4
21-10-2025,Haryana,Fatehabad,125047,1,2
21-10-2025,Haryana,Fatehabad,125051,1,4
21-10-2025,Haryana,Fatehabad,125111,2,3
21-10-2025,Haryana,Gurgaon,122001,7,45
21-10-2025,Haryana,Gurgaon,122504,0,4
21-10-2025,Haryana,Hisar,125005,0,2
21-10-2025,Haryana,Hisar,125037,0,2
21-10-2025,Haryana,Hisar,125112,1,4
21-10-2025,Haryana,Jhajjar,124107,0,5
21-10-2025,Haryana,Jhajjar,124505,0,1
21-10-2025,Haryana,Kaithal,136042,0,2
21-10-2025,Haryana,Karnal,132024,0,1
21-10-2025,Haryana,Karnal,132040,0,1
21-10-2025,Haryana,Karnal,132054,1,2
21-10-2025,Haryana,Kurukshetra,136136,0,1
21-10-2025,Haryana,Kurukshetra,136156,0,1
21-10-2025,Haryana,Mahendragarh,123021,0,4
21-10-2025,Haryana,Mewat,122508,3,36
21-10-2025,Haryana,Palwal,121004,1,1
21-10-2025,Haryana,Palwal,121105,0,4
21-10-2025,Haryana,Panchkula,134108,0,1
21-10-2025,Haryana,Panipat,132101,1,9
21-10-2025,Haryana,Panipat,132113,0,2
21-10-2025,Haryana,Rewari,123103,1,1
21-10-2025,Haryana,Rewari,123106,1,3
21-10-2025,Haryana,Rewari,123303,1,1
21-10-2025,Haryana,Rohtak,124111,1,1
21-10-2025,Haryana,Rohtak,124201,0,1
21-10-2025,Haryana,Rohtak,124411,1,1
21-10-2025,Haryana,Rohtak,124514,0,2
21-10-2025,Haryana,Sirsa,125060,0,2
21-10-2025,Haryana,Sirsa,125103,0,3
21-10-2025,Haryana,Sirsa,125201,0,3
21-10-2025,Haryana,Sonipat,131024,1,1
21-10-2025,Haryana,Sonipat,131306,0,1
21-10-2025,Haryana,Sonipat,131408,0,1
21-10-2025,Haryana,Yamuna Nagar,135102,1,1
21-10-2025,Haryana,Yamunanagar,135001,1,0
20-10-2025,Haryana,Ambala,134203,1,4
20-10-2025,Haryana,Bhiwani,127043,1,0
20-10-2025,Haryana,Bhiwani,127046,0,1
20-10-2025,Haryana,Charkhi Dadri,127026,1,1
20-10-2025,Haryana,Charkhi Dadri,127312,1,1
20-10-2025,Haryana,Faridabad,121007,0,1
20-10-2025,Haryana,Faridabad,121008,0,3
20-10-2025,Haryana,Faridabad,121013,0,4
20-10-2025,Haryana,Fatehabad,125048,0,2
20-10-2025,Haryana,Fatehabad,125111,0,5
